holiday,temp,rain_1h,snow_1h,Year,Month,Day,Hour,weather_main,weather_description,traffic_volume,Rush_Hour,Rain_Flag,Snow_Flag,Temp_Category
7,288.28,0.0,0.0,2012,10,2,9,1,24,5545,1,0,0,Moderate
7,289.36,0.0,0.0,2012,10,2,10,1,2,4516,0,0,0,Moderate
7,289.58,0.0,0.0,2012,10,2,11,1,19,4767,0,0,0,Moderate
7,290.13,0.0,0.0,2012,10,2,12,1,19,5026,0,0,0,Moderate
7,291.14,0.0,0.0,2012,10,2,13,1,2,4918,0,0,0,Moderate
7,291.72,0.0,0.0,2012,10,2,14,0,27,5181,0,0,0,Moderate
7,293.17,0.0,0.0,2012,10,2,15,0,27,5584,0,0,0,Moderate
7,293.86,0.0,0.0,2012,10,2,16,0,27,6015,1,0,0,Moderate
7,294.14,0.0,0.0,2012,10,2,17,1,4,5791,1,0,0,Moderate
7,293.1,0.0,0.0,2012,10,2,18,1,4,4770,1,0,0,Moderate
7,290.97,0.0,0.0,2012,10,2,19,1,4,3539,1,0,0,Moderate
7,289.38,0.0,0.0,2012,10,2,20,0,27,2784,0,0,0,Moderate
7,288.61,0.0,0.0,2012,10,2,21,0,27,2361,0,0,0,Moderate
7,287.16,0.0,0.0,2012,10,2,22,0,27,1529,0,0,0,Moderate
7,285.45,0.0,0.0,2012,10,2,23,0,27,963,0,0,0,Moderate
7,284.63,0.0,0.0,2012,10,3,0,0,27,506,0,0,0,Cold
7,283.47,0.0,0.0,2012,10,3,1,0,27,321,0,0,0,Cold
7,281.18,0.0,0.0,2012,10,3,2,0,27,273,0,0,0,Cold
7,281.09,0.0,0.0,2012,10,3,3,0,27,367,0,0,0,Cold
7,279.53,0.0,0.0,2012,10,3,4,0,27,814,0,0,0,Cold
7,278.62,0.0,0.0,2012,10,3,5,0,27,2718,0,0,0,Cold
7,278.23,0.0,0.0,2012,10,3,6,0,27,5673,0,0,0,Cold
7,278.12,0.0,0.0,2012,10,3,8,0,27,6511,1,0,0,Cold
7,282.48,0.0,0.0,2012,10,3,9,0,27,5471,1,0,0,Cold
7,291.97,0.0,0.0,2012,10,3,12,0,27,5097,0,0,0,Moderate
7,293.23,0.0,0.0,2012,10,3,13,0,27,4887,0,0,0,Moderate
7,294.31,0.0,0.0,2012,10,3,14,0,27,5337,0,0,0,Moderate
7,295.17,0.0,0.0,2012,10,3,15,0,27,5692,0,0,0,Hot
7,295.13,0.0,0.0,2012,10,3,16,0,27,6137,1,0,0,Hot
7,293.66,0.0,0.0,2012,10,3,18,1,4,4623,1,0,0,Moderate
7,290.65,0.0,0.0,2012,10,3,19,1,4,3591,1,0,0,Moderate
7,288.19,0.0,0.0,2012,10,3,20,1,4,2898,0,0,0,Moderate
7,287.1,0.0,0.0,2012,10,3,21,0,27,2637,0,0,0,Moderate
7,286.25,0.0,0.0,2012,10,3,22,0,27,1777,0,0,0,Moderate
7,285.26,0.0,0.0,2012,10,3,23,0,27,1015,0,0,0,Moderate
7,284.55,0.0,0.0,2012,10,4,0,0,27,598,0,0,0,Cold
7,283.47,0.0,0.0,2012,10,4,1,0,27,369,0,0,0,Cold
7,283.17,0.0,0.0,2012,10,4,2,0,27,312,0,0,0,Cold
7,282.04,0.0,0.0,2012,10,4,3,0,27,367,0,0,0,Cold
7,281.69,0.0,0.0,2012,10,4,4,0,27,835,0,0,0,Cold
7,281.32,0.0,0.0,2012,10,4,5,0,27,2726,0,0,0,Cold
7,280.74,0.0,0.0,2012,10,4,6,0,27,5689,0,0,0,Cold
7,280.57,0.0,0.0,2012,10,4,7,0,27,6990,1,0,0,Cold
7,281.86,0.0,0.0,2012,10,4,8,0,27,5985,1,0,0,Cold
7,284.98,0.0,0.0,2012,10,4,9,0,27,5309,1,0,0,Cold
7,289.18,0.0,0.0,2012,10,4,10,0,27,4603,0,0,0,Moderate
7,291.55,0.0,0.0,2012,10,4,11,0,27,4884,0,0,0,Moderate
7,294.97,0.0,0.0,2012,10,4,12,0,27,5104,0,0,0,Moderate
7,296.38,0.0,0.0,2012,10,4,13,0,27,5178,0,0,0,Hot
7,297.32,0.0,0.0,2012,10,4,14,0,27,5501,0,0,0,Hot
7,298.17,0.0,0.0,2012,10,4,15,0,27,5713,0,0,0,Hot
7,298.06,0.0,0.0,2012,10,4,16,1,4,6292,1,0,0,Hot
7,297.67,0.0,0.0,2012,10,4,17,1,4,6057,1,0,0,Hot
7,296.36,0.0,0.0,2012,10,4,18,1,24,4907,1,0,0,Hot
7,293.85,0.0,0.0,2012,10,4,19,1,24,3503,1,0,0,Moderate
